site,b_r,bag,outplant_time,shell_length,month,growth_rate
D,b,2,15.85714286,41.36,4,0.319225225167707
D,b,2,15.85714286,36.38,4,0.005171171170239475
D,b,3,15.85714286,53.56,4,1.0885945943984514
D,b,3,15.85714286,59.46,4,1.4606666664034835
D,b,3,15.85714286,50.97,4,0.9252612610945473
D,b,3,15.85714286,55.14,4,1.188234234020138
D,b,3,15.85714286,45.23,4,0.5632792791777872
D,b,3,15.85714286,38.52,4,0.14012612610087827
D,b,3,15.85714286,46.24,4,0.6269729728600049
D,b,3,15.85714286,49.9,4,0.8577837836292279
D,b,3,15.85714286,49.37,4,0.8243603602118267
D,b,3,15.85714286,42.18,4,0.3709369368701013
