date_time,temp,sal,cond,s_v
42943.39931,17.06,22.11,29.72,1498
42943.40972,15.97,22.26,29.18,1494.74
42943.42014,15.82,22.25,29.06,1494.23
42943.43056,17.18,22.04,29.72,1498.29
42943.44097,17.63,22.01,29.97,1499.64
42943.45139,17.03,22.1,29.69,1497.9
42943.46181,16.67,22.15,29.51,1496.82
42943.47222,16.79,22.11,29.54,1497.15
42943.48264,17.21,22.08,29.78,1498.43
42943.49306,18.22,21.97,30.32,1501.42
42943.50347,17.92,21.97,30.13,1500.51
42943.51389,18.43,21.94,30.42,1502.01
42943.52431,18.43,21.94,30.42,1502.01
42943.53472,19.02,21.86,30.71,1503.68
42943.54514,19.23,21.77,30.74,1504.2
42943.55556,19.08,21.71,30.57,1503.69
42943.56597,19.11,21.64,30.49,1503.7
42943.57639,19.44,21.65,30.73,1504.67
42943.58681,20.41,21.69,31.43,1507.53
42943.59722,20.76,21.59,31.52,1508.41
42943.60764,21.08,21.47,31.58,1509.19
42943.61806,21.28,19.51,29.07,1507.56
42943.62847,23.84,0.01,0,1493.16
42943.63889,23.73,0.01,0,1492.83
42943.64931,21.11,0.01,0,1485.15
42943.65972,19.94,0.01,0,1481.55
42943.67014,19.29,0.01,0,1479.51
42943.68056,20.55,0.01,0,1483.46
42943.69097,21.02,21.77,31.94,1509.36
42943.70139,21.46,21.77,32.24,1510.58
42943.71181,21.28,21.81,32.17,1510.13
42943.72222,21.34,21.83,32.24,1510.33
42943.73264,20.64,21.86,31.8,1508.38
42943.74306,21.14,21.92,32.21,1509.85
42943.75347,21.4,21.89,32.36,1510.56
42943.76389,20.46,21.9,31.73,1507.92
42943.77431,17.92,22.2,30.41,1500.77
42943.78472,17.09,22.26,29.93,1498.27
42943.79514,17.06,22.28,29.93,1498.2
42943.80556,16.94,22.27,29.83,1497.81
42943.81597,17.09,22.24,29.89,1498.24
42943.82639,17.06,22.25,29.89,1498.16
42943.83681,16.76,22.35,29.81,1497.33
42943.84722,16,22.49,29.47,1495.1
42943.85764,16.03,22.44,29.44,1495.15
42943.86806,15.55,22.55,29.23,1493.7
42943.87847,15.33,22.59,29.14,1493.06
